epoch,step,test/acc_step,test/loss_step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc_epoch,val/acc_step,val/loss_epoch,val/loss_step
0,4,,,,0.21875,,2.2539615631103516,,,,
0,9,,,,0.4375,,2.0458905696868896,,,,
0,14,,,,0.59375,,1.9808305501937866,,,,
,0,,,,,,,,0.90625,,1.700082778930664
,1,,,,,,,,0.875,,1.9103715419769287
,2,,,,,,,,0.59375,,2.0096628665924072
,3,,,,,,,,0.5625,,2.0082061290740967
,4,,,,,,,,0.9090909361839294,,1.478408694267273
0,18,,,,,,,0.7482014298439026,,1.8731571435928345,
0,18,,,0.3983193337917328,,2.100874900817871,,,,,
,0,0.78125,1.8647682666778564,,,,,,,,
,1,0.71875,1.8626549243927002,,,,,,,,
